REPORT_ID,EXPENSE_TYPE,TRANSACTION_DATE,EMPLOYEE_ID,EMPLOYEE_NAME,DEPARTMENT,COST_CENTER,JOB_TITLE,HOME_CITY,TRIP_PURPOSE,PAYMENT_METHOD,ORIGIN_IATA,DESTINATION_IATA,ORIGIN_CITY,DESTINATION_CITY,DISTANCE_KM,AIRLINE_CODE,AIRLINE_NAME,FLIGHT_NUMBER,CABIN_CLASS,HOTEL_NAME,HOTEL_CITY,CHECK_IN_DATE,CHECK_OUT_DATE,GROUND_TRANSPORT_TYPE,AMOUNT,CURRENCY,REIMBURSABLE,POLICY_COMPLIANT,POLICY_EXCEPTION_REASON,EMISSION_FACTOR_KGCO2E_PER_KM_OR_NIGHT,ESTIMATED_EMISSIONS_KGCO2E,APPROVAL_STATUS,RECEIPT_ATTACHED,NOTES
RPT-010090,Hotel,30-10-2023,EMP-0089,Vikram Singh,IT,CC-IT-002,CTO,Delhi,Client Meeting,Corporate Card,,,,,,,,,,The Westin,Chennai,30-10-2023,02-11-2023,,38108.4,INR,Yes,Yes,,20.5,61.5,Rejected,Yes,
RPT-010091,Air Travel,01-10-2023,EMP-0102,Meera Iyer,Procurement,CC-PRO-001,GM Procurement,Mumbai,Tender Submission,Corporate Card,DEL,CCU,Delhi,Kolkata,1305,6E,IndiGo,6E844,Economy,,,,,,15045.16,INR,Yes,Yes,,0.255,665.55,Approved,Yes,
RPT-010092,Air Travel,19-05-2024,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Client Meeting,Corporate Card,DEL,AMD,Delhi,Ahmedabad,950,6E,SpiceJet,6.00E+134,Business,,,,,,30703.71,INR,Yes,No,Domestic business/first not permitted without VP approval,0.255,484.5,Rejected,Yes,
RPT-010093,Air Travel,02-09-2023,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Internal Meeting,Cash,BOM,BLR,Mumbai,Bangalore,984,6E,SpiceJet,6.00E+208,First,,,,,,78475.6,INR,Yes,No,Domestic business/first not permitted without VP approval,0.255,501.84,Rejected,Yes,
RPT-010094,Hotel,05-09-2024,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Client Meeting,Cash,,,,,,,,,,Park Hyatt,Hyderabad,05-09-2024,10-09-2024,,85051.4,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,102.5,Approved,Yes,
RPT-010095,Hotel,21-05-2024,EMP-0089,Vikram Singh,IT,CC-IT-002,CTO,Delhi,Conference,Corporate Card,,,,,,,,,,ITC Gardenia,Bangalore,21-05-2024,22-05-2024,,17899.63,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,20.5,Approved,No,
RPT-010096,Air Travel,28-08-2023,EMP-0115,Arun Patel,Sales,CC-SAL-003,Sales Director,Ahmedabad,Internal Meeting,Personal Card,DEL,MAA,Delhi,Chennai,2182,AI,IndiGo,AI613,First,,,,,,65290.22,INR,Yes,No,Domestic business/first not permitted without VP approval,0.255,1112.82,Pending,Yes,
RPT-010097,Hotel,11-02-2024,EMP-0089,Vikram Singh,IT,CC-IT-002,CTO,Delhi,Site Visit,Corporate Card,,,,,,,,,,ITC Royal Bengal,Kolkata,11-02-2024,14-02-2024,,40978.74,INR,Yes,Yes,,20.5,61.5,Approved,Yes,
RPT-010098,Air Travel,25-06-2023,EMP-0128,Kavitha Menon,Legal,CC-LEG-001,Head Legal,Bangalore,Conference,Corporate Card,BOM,HYD,Mumbai,Hyderabad,,AI,IndiGo,AI733,Economy,,,,,,7087.99,INR,Yes,Yes,,,,Approved,Yes,
RPT-010099,Hotel,02-08-2023,EMP-0141,Sanjay Gupta,Strategy,CC-STR-001,CEO,Mumbai,Client Meeting,Corporate Card,,,,,,,,,,The Leela Palace,Bangalore,02-08-2023,06-08-2023,,92071.56,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,82,Approved,Yes,
RPT-010100,Air Travel,14-12-2023,EMP-0219,Nikhil Desai,Procurement,CC-PRO-002,Analyst,Mumbai,Tender Submission,Personal Card,BOM,HKG,Mumbai,Hong Kong,4261,CX,Cathay Pacific,CX223,Economy,,,,,,44473.53,INR,Yes,Yes,,0.195,1661.79,Rejected,Yes,
RPT-010101,Hotel,09-02-2024,EMP-0154,Deepa Krishnan,Projects,CC-PRJ-002,Project Lead,Chennai,Training,Corporate Card,,,,,,,,,,Ibis Chennai,Chennai,09-02-2024,12-02-2024,,19687.8,INR,Yes,Yes,,20.5,61.5,Approved,No,
RPT-010102,Hotel,14-05-2023,EMP-0023,Priya Nair,Operations,CC-OPS-002,Sr Manager,Chennai,Site Visit,Corporate Card,,,,,,,,,,Novotel Techpark,Bangalore,14-05-2023,15-05-2023,,10008.29,INR,Yes,Yes,,20.5,20.5,Approved,No,
RPT-010103,Hotel,04-10-2023,EMP-0023,Priya Nair,Operations,CC-OPS-002,Sr Manager,Chennai,Audit,Corporate Card,,,,,,,,,,ITC Kohenur,Hyderabad,04-10-2023,07-10-2023,,62415.57,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,61.5,Approved,Yes,
RPT-010104,Ground - Ola Outstation,25-06-2023,EMP-0115,Arun Patel,Sales,CC-SAL-003,Sales Director,Ahmedabad,Audit,Personal Card,,,,,,,,,,,,,,Ola Outstation,3341.05,INR,Yes,Yes,,0.17,62.05,Approved,Yes,
RPT-010105,Air Travel,23-10-2024,EMP-0011,Rajesh Sharma,Finance,CC-FIN-001,VP Finance,Mumbai,Internal Meeting,Corporate Card,BOM,DEL,Mumbai,Delhi,,AI,IndiGo,AI445,Business,,,,,,46460.27,INR,Yes,No,Domestic business/first not permitted without VP approval,,,Approved,Yes,
RPT-010106,Hotel,05-05-2023,EMP-0023,Priya Nair,Operations,CC-OPS-002,Sr Manager,Chennai,Training,Cash,,,,,,,,,,ITC Gardenia,Bangalore,05-05-2023,06-05-2023,,15689.75,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,20.5,Rejected,Yes,
RPT-010107,Ground - Airport Transfer,02-07-2024,EMP-0011,Rajesh Sharma,Finance,CC-FIN-001,VP Finance,Mumbai,Conference,Corporate Card,,,,,,,,,,,,,,Airport Transfer,6841.35,INR,Yes,Yes,,0.17,26.18,Approved,Yes,
RPT-010108,Air Travel,04-07-2024,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Audit,Corporate Card,BOM,SIN,Mumbai,Singapore,4140,SQ,Singapore Airlines,SQ222,First,,,,,,640415.09,INR,Yes,Yes,,0.975,8073,Approved,Yes,
RPT-010109,Air Travel,07-05-2023,EMP-0045,Amit Kulkarni,Supply Chain,CC-SCM-001,Manager,Pune,Site Visit,Corporate Card,MAA,HYD,Chennai,Hyderabad,,6E,Air India,6E662,Economy,,,,,,10013.42,INR,Yes,Yes,,,,Approved,Yes,
RPT-010110,Hotel,02-06-2024,EMP-0115,Arun Patel,Sales,CC-SAL-003,Sales Director,Ahmedabad,Audit,Cash,,,,,,,,,,Holiday Inn,London,02-06-2024,03-06-2024,,144.49,USD,Yes,Yes,,20.5,20.5,Rejected,No,
RPT-010111,Air Travel,05-11-2023,EMP-0115,Arun Patel,Sales,CC-SAL-003,Sales Director,Ahmedabad,Internal Meeting,Corporate Card,DEL,NRT,Delhi,Tokyo,5846,NH,ANA,NH524,Economy,,,,,,70567.65,INR,Yes,Yes,,0.195,1139.97,Approved,Yes,
RPT-010112,Hotel,22-11-2024,EMP-0180,Ananya Banerjee,Operations,CC-OPS-001,AGM,Kolkata,Site Visit,Corporate Card,,,,,,,,,,Novotel Ahmedabad,Ahmedabad,22-11-2024,27-11-2024,,45971.3,INR,Yes,Yes,,20.5,102.5,Approved,Yes,
RPT-010113,Air Travel,10-01-2024,EMP-0102,Meera Iyer,Procurement,CC-PRO-001,GM Procurement,Mumbai,Audit,Corporate Card,MAA,HYD,Chennai,Hyderabad,,6E,Air India,6E660,Economy,,,,,,17634.66,INR,Yes,Yes,,,,Pending,Yes,
RPT-010114,Air Travel,29-04-2024,EMP-0023,Priya Nair,Operations,CC-OPS-002,Sr Manager,Chennai,Site Visit,Corporate Card,BOM,DEL,Mumbai,Delhi,,AI,IndiGo,AI856,Business,,,,,,41250.01,INR,Yes,No,Domestic business/first not permitted without VP approval,,,Approved,Yes,
RPT-010115,Hotel,08-10-2023,EMP-0011,Rajesh Sharma,Finance,CC-FIN-001,VP Finance,Mumbai,Board Meeting,Personal Card,,,,,,,,,,ITC Grand Chola,Chennai,08-10-2023,13-10-2023,,92495.5,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,102.5,Approved,No,
RPT-010116,Hotel,09-03-2023,EMP-0023,Priya Nair,Operations,CC-OPS-002,Sr Manager,Chennai,Tender Submission,Corporate Card,,,,,,,,,,The Gateway Hotel,Ahmedabad,09-03-2023,14-03-2023,,52045.3,INR,Yes,Yes,,20.5,102.5,Approved,Yes,
RPT-010117,Air Travel,21-10-2023,EMP-0089,Vikram Singh,IT,CC-IT-002,CTO,Delhi,Client Meeting,Personal Card,DEL,BLR,Delhi,Bangalore,,6E,Air India,6E693,Economy,,,,,,14845.82,INR,Yes,Yes,,,,Rejected,Yes,
RPT-010118,Air Travel,29-07-2023,EMP-0011,Rajesh Sharma,Finance,CC-FIN-001,VP Finance,Mumbai,Site Visit,Corporate Card,BOM,JFK,Mumbai,New York,12556,AI,Air India,AI349,Economy,,,,,,68753.05,SGD,Yes,Yes,,0.195,4896.84,Approved,No,
RPT-010119,Hotel,07-09-2023,EMP-0089,Vikram Singh,IT,CC-IT-002,CTO,Delhi,Site Visit,Personal Card,,,,,,,,,,Mandarin Oriental,Singapore,07-09-2023,11-09-2023,,1551.35,USD,Yes,Yes,,20.5,82,Approved,Yes,
RPT-010120,Ground - Uber/Ola,03-03-2023,EMP-0180,Ananya Banerjee,Operations,CC-OPS-001,AGM,Kolkata,Training,Corporate Card,,,,,,,,,,,,,,Uber/Ola,4968.91,INR,Yes,Yes,,0.149,2.98,Approved,No,
RPT-010121,Hotel,14-06-2023,EMP-0089,Vikram Singh,IT,CC-IT-002,CTO,Delhi,Audit,Cash,,,,,,,,,,Hyatt Regency Pune,Pune,14-06-2023,17-06-2023,,49594.92,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,61.5,Approved,Yes,
RPT-010122,Ground - Ola Outstation,29-10-2023,EMP-0193,Suresh Kumar,Sales,CC-SAL-001,Regional Head,Delhi,Board Meeting,Corporate Card,,,,,,,,,,,,,,Ola Outstation,1484.63,INR,Yes,Yes,,0.17,20.74,Approved,No,
RPT-010123,Ground - Auto Rickshaw,02-09-2024,EMP-0011,Rajesh Sharma,Finance,CC-FIN-001,VP Finance,Mumbai,Project Review,Corporate Card,,,,,,,,,,,,,,Auto Rickshaw,6008.23,INR,Yes,Yes,,0.149,3.87,Approved,No,
RPT-010124,Air Travel,01-02-2023,EMP-0011,Rajesh Sharma,Finance,CC-FIN-001,VP Finance,Mumbai,Conference,Corporate Card,BOM,SIN,Mumbai,Singapore,4140,SQ,Singapore Airlines,SQ418,First,,,,,,725014.22,INR,Yes,Yes,,0.975,4036.5,Approved,Yes,
RPT-010125,Hotel,27-12-2023,EMP-0115,Arun Patel,Sales,CC-SAL-003,Sales Director,Ahmedabad,Project Review,Corporate Card,,,,,,,,,,Taj Coromandel,Chennai,27-12-2023,01-01-2024,,81506,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,102.5,Approved,Yes,
RPT-010126,Hotel,06-07-2024,EMP-0154,Deepa Krishnan,Projects,CC-PRJ-002,Project Lead,Chennai,Audit,Corporate Card,,,,,,,,,,Ibis Pune,Pune,06-07-2024,08-07-2024,,10139,INR,Yes,Yes,,20.5,41,Approved,Yes,
RPT-010127,Hotel,17-03-2024,EMP-0128,Kavitha Menon,Legal,CC-LEG-001,Head Legal,Bangalore,Project Review,Corporate Card,,,,,,,,,,Taj Falaknuma,Hyderabad,17-03-2024,20-03-2024,,108695.28,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,61.5,Pending,Yes,
RPT-010128,Air Travel,21-02-2023,EMP-0045,Amit Kulkarni,Supply Chain,CC-SCM-001,Manager,Pune,Site Visit,Personal Card,BOM,HYD,Mumbai,Hyderabad,711,AI,IndiGo,AI319,Economy,,,,,,14479.04,INR,Yes,Yes,,0.255,181.31,Rejected,No,
RPT-010129,Ground - Taxi,07-11-2023,EMP-0045,Amit Kulkarni,Supply Chain,CC-SCM-001,Manager,Pune,Internal Meeting,Corporate Card,,,,,,,,,,,,,,Taxi,3915.91,INR,Yes,Yes,,,,Approved,No,
RPT-010130,Hotel,27-05-2023,EMP-0154,Deepa Krishnan,Projects,CC-PRJ-002,Project Lead,Chennai,Internal Meeting,Cash,,,,,,,,,,ITC Grand Chola,Chennai,27-05-2023,31-05-2023,,70074.12,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,82,Approved,Yes,
RPT-010131,Air Travel,04-08-2024,EMP-0219,Nikhil Desai,Procurement,CC-PRO-002,Analyst,Mumbai,Site Visit,Personal Card,BOM,SIN,Mumbai,Singapore,4140,SQ,Singapore Airlines,SQ381,Business,,,,,,381738.04,INR,Yes,Yes,,0.585,2421.9,Rejected,Yes,
RPT-010132,Hotel,10-10-2024,EMP-0115,Arun Patel,Sales,CC-SAL-003,Sales Director,Ahmedabad,Training,Personal Card,,,,,,,,,,ITC Royal Bengal,Kolkata,10-10-2024,11-10-2024,,16569.96,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,20.5,Approved,Yes,
RPT-010133,Hotel,31-12-2023,EMP-0102,Meera Iyer,Procurement,CC-PRO-001,GM Procurement,Mumbai,Audit,Cash,,,,,,,,,,Hyatt Regency,Kolkata,31-12-2023,02-01-2024,,20292.74,INR,Yes,Yes,,20.5,41,Approved,Yes,
RPT-010134,Hotel,08-10-2024,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Tender Submission,Corporate Card,,,,,,,,,,Crowne Plaza,Ahmedabad,08-10-2024,09-10-2024,,12060.41,INR,Yes,Yes,,20.5,20.5,Approved,Yes,
RPT-010135,Hotel,30-07-2024,EMP-0045,Amit Kulkarni,Supply Chain,CC-SCM-001,Manager,Pune,Conference,Corporate Card,,,,,,,,,,Taj Coromandel,Chennai,30-07-2024,03-08-2024,,84579.04,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,82,Pending,Yes,
RPT-010136,Hotel,22-04-2023,EMP-0128,Kavitha Menon,Legal,CC-LEG-001,Head Legal,Bangalore,Training,Cash,,,,,,,,,,Trident Hyderabad,Hyderabad,22-04-2023,26-04-2023,,44685.32,INR,Yes,Yes,,20.5,82,Approved,Yes,
RPT-010137,Hotel,20-08-2024,EMP-0102,Meera Iyer,Procurement,CC-PRO-001,GM Procurement,Mumbai,Board Meeting,Corporate Card,,,,,,,,,,Hyatt Place,Ahmedabad,20-08-2024,23-08-2024,,24538.2,INR,Yes,Yes,,20.5,61.5,Approved,Yes,
RPT-010138,Air Travel,11-12-2024,EMP-0219,Nikhil Desai,Procurement,CC-PRO-002,Analyst,Mumbai,Board Meeting,Corporate Card,DEL,CCU,Delhi,Kolkata,,6E,IndiGo,6E697,Economy,,,,,,13882.84,INR,Yes,Yes,,,,Approved,Yes,
RPT-010139,Air Travel,16-10-2023,EMP-0102,Meera Iyer,Procurement,CC-PRO-001,GM Procurement,Mumbai,Conference,Personal Card,BOM,PNQ,Mumbai,Pune,149,AI,IndiGo,AI245,First,,,,,,83571.4,INR,Yes,No,Domestic business/first not permitted without VP approval,0.255,75.99,Rejected,Yes,
RPT-010140,Ground - Train/Metro,21-06-2024,EMP-0128,Kavitha Menon,Legal,CC-LEG-001,Head Legal,Bangalore,Board Meeting,Cash,,,,,,,,,,,,,,Train/Metro,3505.95,INR,Yes,Yes,,0.17,45.39,Approved,No,
RPT-010141,Air Travel,11-06-2024,EMP-0128,Kavitha Menon,Legal,CC-LEG-001,Head Legal,Bangalore,Audit,Personal Card,DEL,HYD,Delhi,Hyderabad,,AI,SpiceJet,AI371,Economy,,,,,,17163.04,INR,Yes,Yes,,,,Pending,Yes,
RPT-010142,Air Travel,29-04-2024,EMP-0154,Deepa Krishnan,Projects,CC-PRJ-002,Project Lead,Chennai,Audit,Personal Card,BOM,JFK,Mumbai,New York,12556,AI,Air India,AI287,Business,,,,,,228900.8,INR,Yes,Yes,,0.585,7345.26,Approved,No,
RPT-010143,Air Travel,08-07-2023,EMP-0115,Arun Patel,Sales,CC-SAL-003,Sales Director,Ahmedabad,Board Meeting,Corporate Card,DEL,MAA,Delhi,Chennai,2182,AI,IndiGo,AI985,First,,,,,,81456.9,INR,Yes,No,Domestic business/first not permitted without VP approval,0.255,1112.82,Approved,Yes,
RPT-010144,Air Travel,01-08-2023,EMP-0219,Nikhil Desai,Procurement,CC-PRO-002,Analyst,Mumbai,Tender Submission,Corporate Card,BOM,DEL,Mumbai,Delhi,1415,AI,IndiGo,AI873,Economy,,,,,,20311.23,INR,Yes,Yes,,0.255,721.65,Approved,Yes,
RPT-010145,Air Travel,25-06-2023,EMP-0128,Kavitha Menon,Legal,CC-LEG-001,Head Legal,Bangalore,Audit,Cash,DEL,AMD,Delhi,Ahmedabad,950,6E,SpiceJet,6E905,Economy,,,,,,9363.42,INR,Yes,Yes,,0.255,484.5,Approved,Yes,
RPT-010146,Hotel,16-04-2023,EMP-0128,Kavitha Menon,Legal,CC-LEG-001,Head Legal,Bangalore,Project Review,Personal Card,,,,,,,,,,The Imperial Delhi,Delhi,16-04-2023,21-04-2023,,114120.45,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,102.5,Pending,Yes,
RPT-010147,Air Travel,20-02-2024,EMP-0102,Meera Iyer,Procurement,CC-PRO-001,GM Procurement,Mumbai,Board Meeting,Personal Card,DEL,AMD,Delhi,Ahmedabad,950,6E,SpiceJet,6E472,Business,,,,,,33903.28,INR,Yes,No,Domestic business/first not permitted without VP approval,0.255,242.25,Approved,No,
RPT-010148,Air Travel,25-08-2023,EMP-0219,Nikhil Desai,Procurement,CC-PRO-002,Analyst,Mumbai,Client Meeting,Corporate Card,DEL,AMD,Delhi,Ahmedabad,950,6E,SpiceJet,6.00E+271,Business,,,,,,26505.83,INR,Yes,No,Domestic business/first not permitted without VP approval,0.255,242.25,Pending,Yes,
RPT-010149,Air Travel,23-02-2024,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Training,Corporate Card,DEL,AMD,Delhi,Ahmedabad,950,6E,SpiceJet,6.00E+121,Business,,,,,,38823.34,INR,Yes,No,Domestic business/first not permitted without VP approval,0.255,484.5,Approved,Yes,
RPT-010150,Air Travel,06-10-2024,EMP-0023,Priya Nair,Operations,CC-OPS-002,Sr Manager,Chennai,Conference,Corporate Card,BOM,LHR,Mumbai,London,7189,AI,Air India,AI179,Economy,,,,,,46611.73,INR,Yes,Yes,,0.195,2803.71,Pending,Yes,
RPT-010151,Ground - Train/Metro,26-09-2024,EMP-0141,Sanjay Gupta,Strategy,CC-STR-001,CEO,Mumbai,Internal Meeting,Corporate Card,,,,,,,,,,,,,,Train/Metro,1639.78,INR,Yes,Yes,,0.17,35.87,Rejected,Yes,
RPT-010152,Ground - Bus,18-08-2024,EMP-0180,Ananya Banerjee,Operations,CC-OPS-001,AGM,Kolkata,Conference,Corporate Card,,,,,,,,,,,,,,Bus,7241.45,INR,Yes,Yes,,0.17,35.7,Rejected,Yes,
RPT-010153,Hotel,17-02-2024,EMP-0023,Priya Nair,Operations,CC-OPS-002,Sr Manager,Chennai,Internal Meeting,Corporate Card,,,,,,,,,,Park Hyatt,Hyderabad,17-02-2024,19-02-2024,,27282.18,INR,Yes,Yes,,20.5,41,Approved,No,
RPT-010154,Air Travel,31-12-2023,EMP-0115,Arun Patel,Sales,CC-SAL-003,Sales Director,Ahmedabad,Site Visit,Corporate Card,BOM,CCU,Mumbai,Kolkata,,6E,Air India,6.00E+139,Economy,,,,,,5201.44,INR,Yes,Yes,,,,Approved,Yes,
RPT-010155,Ground - Airport Transfer,13-12-2023,EMP-0115,Arun Patel,Sales,CC-SAL-003,Sales Director,Ahmedabad,Project Review,Corporate Card,,,,,,,,,,,,,,Airport Transfer,4426.94,INR,Yes,Yes,,,,Approved,Yes,
RPT-010156,Hotel,09-02-2024,EMP-0180,Ananya Banerjee,Operations,CC-OPS-001,AGM,Kolkata,Client Meeting,Cash,,,,,,,,,,Sofitel Gatwick,London,09-02-2024,14-02-2024,,1118.58,EUR,Yes,Yes,,20.5,102.5,Approved,Yes,
RPT-010157,Hotel,28-11-2023,EMP-0154,Deepa Krishnan,Projects,CC-PRJ-002,Project Lead,Chennai,Audit,Corporate Card,,,,,,,,,,Park Hyatt Tokyo,Tokyo,28-11-2023,03-12-2023,,323750.85,INR,Yes,Yes,,20.5,102.5,Approved,Yes,
RPT-010158,Ground - Uber/Ola,16-10-2023,EMP-0206,Lakshmi Pillai,R&D,CC-RND-001,Scientist,Bangalore,Project Review,Corporate Card,,,,,,,,,,,,,,Uber/Ola,1065.97,INR,No,Yes,,,,Approved,Yes,
RPT-010159,Hotel,07-10-2023,EMP-0141,Sanjay Gupta,Strategy,CC-STR-001,CEO,Mumbai,Client Meeting,Corporate Card,,,,,,,,,,Westin New York,New York,07-10-2023,12-10-2023,,2005.88,EUR,Yes,Yes,,20.5,102.5,Approved,Yes,
RPT-010160,Air Travel,28-01-2023,EMP-0141,Sanjay Gupta,Strategy,CC-STR-001,CEO,Mumbai,Project Review,Cash,MAA,HYD,Chennai,Hyderabad,628,6E,Air India,6E943,Economy,,,,,,19353.62,INR,Yes,Yes,,0.255,320.28,Approved,No,
RPT-010161,Hotel,22-10-2024,EMP-0206,Lakshmi Pillai,R&D,CC-RND-001,Scientist,Bangalore,Board Meeting,Corporate Card,,,,,,,,,,Marriott Champs-Elysees,Paris,22-10-2024,23-10-2024,,532.01,USD,Yes,Yes,,20.5,20.5,Approved,Yes,
RPT-010162,Air Travel,04-09-2024,EMP-0180,Ananya Banerjee,Operations,CC-OPS-001,AGM,Kolkata,Site Visit,Corporate Card,BOM,DEL,Mumbai,Delhi,1415,AI,IndiGo,AI819,Economy,,,,,,7651.95,INR,Yes,Yes,,0.255,721.65,Approved,Yes,
RPT-010163,Hotel,17-03-2023,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Board Meeting,Corporate Card,,,,,,,,,,The Leela Palace,Bangalore,17-03-2023,22-03-2023,,100700.3,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,102.5,Rejected,No,
RPT-010164,Ground - Ola Outstation,02-05-2023,EMP-0206,Lakshmi Pillai,R&D,CC-RND-001,Scientist,Bangalore,Conference,Cash,,,,,,,,,,,,,,Ola Outstation,5215.77,INR,Yes,Yes,,0.17,31.79,Approved,Yes,
RPT-010165,Air Travel,18-02-2023,EMP-0089,Vikram Singh,IT,CC-IT-002,CTO,Delhi,Site Visit,Cash,BOM,BLR,Mumbai,Bangalore,,6E,SpiceJet,6.00E+162,Economy,,,,,,19330.19,INR,Yes,Yes,,,,Approved,No,
RPT-010166,Hotel,19-08-2024,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Tender Submission,Personal Card,,,,,,,,,,Park Hyatt,Hyderabad,19-08-2024,21-08-2024,,32272.5,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,41,Approved,Yes,
RPT-010167,Ground - Auto Rickshaw,03-07-2024,EMP-0219,Nikhil Desai,Procurement,CC-PRO-002,Analyst,Mumbai,Board Meeting,Corporate Card,,,,,,,,,,,,,,Auto Rickshaw,4757.79,INR,Yes,Yes,,0.149,0.74,Approved,Yes,
RPT-010168,Ground - Airport Transfer,09-09-2024,EMP-0115,Arun Patel,Sales,CC-SAL-003,Sales Director,Ahmedabad,Client Meeting,Cash,,,,,,,,,,,,,,Airport Transfer,4886.43,INR,Yes,Yes,,0.17,48.45,Approved,Yes,
RPT-010169,Hotel,14-10-2024,EMP-0193,Suresh Kumar,Sales,CC-SAL-001,Regional Head,Delhi,Board Meeting,Corporate Card,,,,,,,,,,Lemon Tree,Hyderabad,14-10-2024,19-10-2024,,36526.2,INR,Yes,Yes,,20.5,102.5,Approved,Yes,
RPT-010170,Air Travel,18-09-2024,EMP-0115,Arun Patel,Sales,CC-SAL-003,Sales Director,Ahmedabad,Client Meeting,Corporate Card,BOM,JFK,Mumbai,New York,12556,AI,Air India,AI442,Economy,,,,,,67153.18,USD,Yes,Yes,,0.195,2448.42,Approved,Yes,
RPT-010171,Air Travel,30-11-2023,EMP-0128,Kavitha Menon,Legal,CC-LEG-001,Head Legal,Bangalore,Project Review,Cash,BOM,DXB,Mumbai,Dubai,1935,EK,Emirates,EK135,Economy,,,,,,34015.84,INR,Yes,Yes,,0.195,754.65,Approved,No,
RPT-010172,Ground - Bus,22-11-2023,EMP-0089,Vikram Singh,IT,CC-IT-002,CTO,Delhi,Project Review,Corporate Card,,,,,,,,,,,,,,Bus,5855.42,INR,Yes,Yes,,0.17,40.46,Approved,Yes,
RPT-010173,Hotel,25-11-2023,EMP-0115,Arun Patel,Sales,CC-SAL-003,Sales Director,Ahmedabad,Tender Submission,Corporate Card,,,,,,,,,,ITC Kohenur,Hyderabad,25-11-2023,26-11-2023,,17430.07,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,20.5,Approved,Yes,
RPT-010174,Air Travel,15-12-2024,EMP-0067,Sunita Reddy,HR,CC-HR-001,Director HR,Hyderabad,Audit,Corporate Card,BOM,DXB,Mumbai,Dubai,1935,EK,Emirates,EK270,Business,,,,,,327000.17,INR,Yes,Yes,,0.585,2263.95,Approved,Yes,
RPT-010175,Air Travel,07-06-2023,EMP-0067,Sunita Reddy,HR,CC-HR-001,Director HR,Hyderabad,Site Visit,Cash,DEL,CCU,Delhi,Kolkata,1305,6E,IndiGo,6E308,Economy,,,,,,11064.8,INR,Yes,Yes,,0.255,665.55,Rejected,Yes,
RPT-010176,Hotel,20-10-2024,EMP-0206,Lakshmi Pillai,R&D,CC-RND-001,Scientist,Bangalore,Internal Meeting,Corporate Card,,,,,,,,,,Taj Coromandel,Chennai,20-10-2024,21-10-2024,,17384.52,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,20.5,Approved,Yes,
RPT-010177,Ground - Auto Rickshaw,29-12-2023,EMP-0089,Vikram Singh,IT,CC-IT-002,CTO,Delhi,Training,Corporate Card,,,,,,,,,,,,,,Auto Rickshaw,7377.31,INR,Yes,Yes,,,,Approved,Yes,
RPT-010178,Hotel,27-03-2023,EMP-0128,Kavitha Menon,Legal,CC-LEG-001,Head Legal,Bangalore,Site Visit,Corporate Card,,,,,,,,,,Ibis Chennai,Chennai,27-03-2023,01-04-2023,,24397.4,INR,Yes,Yes,,20.5,102.5,Approved,Yes,
RPT-010179,Hotel,09-11-2024,EMP-0219,Nikhil Desai,Procurement,CC-PRO-002,Analyst,Mumbai,Training,Corporate Card,,,,,,,,,,ITC Royal Bengal,Kolkata,09-11-2024,11-11-2024,,29898,INR,Yes,Yes,,20.5,41,Approved,No,
RPT-010180,Air Travel,20-09-2023,EMP-0128,Kavitha Menon,Legal,CC-LEG-001,Head Legal,Bangalore,Board Meeting,Personal Card,DEL,JFK,Delhi,New York,11755,UA,United Airlines,UA128,Business,,,,,,360568.06,INR,Yes,Yes,,0.585,6876.67,Approved,No,
